ID	type	time	urlbase	urlparms	urlbodyparms	responsedata	status
1374974643	GET	1401705201307	https://api.weibo.com/2/account/get_uid.json	{"access_token":"2.0089yvCC0Isjjyc3ea12dfc9xRu6SB"}	(null)	(null)	1
1374974643	data	1401705203060	(null)	(null)	(null)	{"error":"expired_token","error_code":21327,"request":"/2/account/get_uid.json"}	1
-988781320	GET	1401783604928	https://api.weibo.com/2/account/get_uid.json	{"access_token":"2.0089yvCC0Isjjyc3ea12dfc9xRu6SB"}	(null)	(null)	1
-988781320	data	1401783605409	(null)	(null)	(null)	{"error":"expired_token","error_code":21327,"request":"/2/account/get_uid.json"}	1
1995492027	GET	1401783672324	https://api.weibo.com/2/account/get_uid.json	{"access_token":"2.0089yvCC0Isjjyc3ea12dfc9xRu6SB"}	(null)	(null)	1
1995492027	data	1401783672739	(null)	(null)	(null)	{"error":"expired_token","error_code":21327,"request":"/2/account/get_uid.json"}	1
-350733478	POST	1401783698996	https://api.weibo.com/oauth2/access_token	{"client_id":"897481256","code":"6e47aed7c19d6d415f934c1240953f55","redirect_uri":"https:\/\/api.weibo.com\/oauth2\/default.html","client_secret":"83a6102c1435001a6d52cdd254cc7cbc","grant_type":"authorization_code"}	(null)	(null)	1
-350733478	data	1401783699242	(null)	(null)	(null)	{"access_token":"2.0089yvCC0Isjjy85aa943ef3ohN9XB","remind_in":"124703","expires_in":124703,"uid":"1875635435"}	1
516247906	GET	1401783734031	https://api.weibo.com/2/account/get_uid.json	{"access_token":"2.0089yvCC0Isjjy85aa943ef3ohN9XB"}	(null)	(null)	1
516247906	data	1401783734436	(null)	(null)	(null)	{"uid":1875635435}	1
6174227072	GET	1401783734478	https://api.weibo.com/2/statuses/home_timeline.json	{"access_token":"2.0089yvCC0Isjjy85aa943ef3ohN9XB"}	(null)	(null)	1
